time_s,moe,trip,pll,pb12,pwm_out
0.173,1,0,1,1,0.3
0.174,1,0,1,1,0.3
0.175,1,0,1,1,0.3
0.176,1,0,1,1,0.3
0.177,1,0,1,1,0.3
0.178,1,0,1,1,0.3
0.179,1,0,1,1,0.3
0.180,1,0,1,1,0.3
0.181,1,0,1,1,0.3
0.182,1,0,1,1,0.3
0.183,1,0,1,1,0.3
0.184,1,0,1,1,0.3
0.185,1,0,1,1,0.3
0.186,1,0,1,1,0.3
0.187,1,0,1,1,0.3
0.188,1,0,1,1,0.3
0.189,1,0,1,1,0.3
0.190,1,0,1,1,0.3
0.191,1,0,1,1,0.3
0.192,1,0,1,1,0.3
0.193,1,0,1,1,0.3
0.194,1,0,1,1,0.3
0.195,1,0,1,1,0.3
0.196,1,0,1,1,0.3
0.197,1,0,1,1,0.3
0.198,1,0,1,1,0.3
0.199,1,0,1,1,0.3
0.200,1,0,1,1,0.3
